# estas son cosas que se dijeron en clase que no entendí.
分享        fēnxiǎng        to share
屏幕        píngmù          screen
现在我给大家分享我的屏幕。        Xiànzài wǒ gěi dàjiā fēnxiǎng wǒ de píngmù.
看见        kànjiàn         to see
加州        Jiāzhōu        California
纽约        Niǔyuē        New York
商学        shāngxué        business studies / business
墨西哥      Mòxīgē        Mexico
一般般      yìbānbàn        so-so (más o menos)
旧金山      Jiùjīnshān        San Francisco
俄勒冈州    Èlègāngzhōu        Oregon
遛狗        liùgǒu        walking the dog
词汇        cíhuì        vocabulary
听力        tīnglì        listening comprehension
发音        fāyīn        pronunciation
语法        yǔfǎ        grammar
读一下      dúyíxià        read this
选择        xuǎnzé        to choose
你要选哪    nǐ yào xuǎn nǎ?        which one are you going to choose?
容易        róngyì        easy
请你选择一个  Qǐng nǐ xuǎnzé yīgè        please choose one
你怎么看     nǐ zěnme kàn?        what do you think? / what's your opinion?
父母        fùmǔ        father and mother; parents
分          fēn        point / points
请你读      Qǐng nǐ dú        please read
很中国人一样的  hěn Zhōngguó rén yíyàng de        just like a Chinese person
上面        shàngmiàn        up / above
下面        xiàmiàn        down / below
前面        qiánmiàn        front / in front
后面        hòumiàn        back / behind
左边        zuǒbiān        left side
右边        yòubiān        right side
里面        lǐmiàn        inside
外面        wàimiàn        outside
句子        jùzi        sentence
我可以第一个  wǒ kěyǐ dì yīgè        I can be the first
弹钢琴      tán gāngqín        play piano
读这些词    dú zhèxiē cí        read these words
这些        zhèxiē        these
一定要      yídìng yào        absolutely / mandatory
地方        dìfang        place
来猜        lái cāi        take a guess
两个人刚认识  liǎng gè rén gāng rènshi        two people just met each other
接电话      jiē diànhuà        to answer the phone
听不懂      tīng bù dǒng        can't understand
